# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=15
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_cdm              t_ur               t_tot              
1.9755223192e-06  -1.5899775958e+00  -1.1924831968e+00  -1.1924831968e+00  -1.5899775958e+00  -1.1944598761e+00  1.5656450237e-09  1.5656633348e-09  1.5656633475e-09  1.5656447913e-09  1.5656632234e-09
2.4870352492e-06  -1.5899812252e+00  -1.1924859189e+00  -1.1924859189e+00  -1.5899812251e+00  -1.1944626027e+00  2.4813715036e-09  2.4814072857e-09  2.4814077723e-09  2.4813689493e-09  2.4814074450e-09
3.1309918753e-06  -1.5899840680e+00  -1.1924880511e+00  -1.1924880511e+00  -1.5899840680e+00  -1.1944647384e+00  3.9327002997e-09  3.9327676263e-09  3.9327676455e-09  3.9326993491e-09  3.9327671939e-09
3.9416852359e-06  -1.5899915058e+00  -1.1924936296e+00  -1.1924936296e+00  -1.5899915058e+00  -1.1944703261e+00  6.2328741735e-09  6.2330143114e-09  6.2330143637e-09  6.2328724189e-09  6.2330134223e-09
4.9622877088e-06  -1.5900004603e+00  -1.1925003456e+00  -1.1925003456e+00  -1.5900004603e+00  -1.1944770533e+00  9.8783769946e-09  9.8786642265e-09  9.8786640586e-09  9.8783762919e-09  9.8786621842e-09
6.2471500972e-06  -1.5900161389e+00  -1.1925121049e+00  -1.1925121049e+00  -1.5900161389e+00  -1.1944888321e+00  1.5655999378e-08  1.5656625905e-08  1.5656625976e-08  1.5655992642e-08  1.5656621799e-08
7.8646960087e-06  -1.5900423909e+00  -1.1925317949e+00  -1.1925317949e+00  -1.5900423909e+00  -1.1945085547e+00  2.4812561397e-08  2.4814060496e-08  2.4814060593e-08  2.4812546361e-08  2.4814050612e-08
9.9010656614e-06  -1.5900795141e+00  -1.1925596392e+00  -1.1925596392e+00  -1.5900795140e+00  -1.1945364451e+00  3.9324288246e-08  3.9327656333e-08  3.9327656479e-08  3.9324254871e-08  3.9327634069e-08
1.2464703165e-05  -1.5901414579e+00  -1.1926061017e+00  -1.1926061018e+00  -1.5901414577e+00  -1.1945829847e+00  6.2321998271e-08  6.2330111835e-08  6.2330112077e-08  6.2321918990e-08  6.2330058113e-08
1.5692131565e-05  -1.5902377260e+00  -1.1926783139e+00  -1.1926783139e+00  -1.5902377255e+00  -1.1946553165e+00  9.8767074972e-08  9.8786591171e-08  9.8786591524e-08  9.8766886245e-08  9.8786461766e-08
1.9755223192e-05  -1.5903948669e+00  -1.1927961986e+00  -1.1927961987e+00  -1.5903948657e+00  -1.1947733965e+00  1.5651713440e-07  1.5656596659e-07  1.5656596736e-07  1.5651666216e-07  1.5656564271e-07
2.4870352492e-05  -1.5906331901e+00  -1.1929750065e+00  -1.1929750065e+00  -1.5906331874e+00  -1.1949525002e+00  2.4802280928e-07  2.4814080467e-07  2.4814080495e-07  2.4802168675e-07  2.4814002080e-07
3.1309918753e-05  -1.5910239530e+00  -1.1932682530e+00  -1.1932682530e+00  -1.5910239461e+00  -1.1952462317e+00  3.9297813922e-07  3.9327578242e-07  3.9327578434e-07  3.9297527553e-07  3.9327380602e-07
3.9416852359e-05  -1.5916451633e+00  -1.1937346038e+00  -1.1937346038e+00  -1.5916451455e+00  -1.1957133526e+00  6.2254559128e-07  6.2329736482e-07  6.2329736691e-07  6.2253831341e-07  6.2329237051e-07
4.9622877088e-05  -1.5926283439e+00  -1.1944731039e+00  -1.1944731041e+00  -1.5926282998e+00  -1.1964530695e+00  9.8595995639e-07  9.8785318912e-07  9.8785319836e-07  9.8594180549e-07  9.8784061546e-07
6.2471500972e-05  -1.5941849670e+00  -1.1956433725e+00  -1.1956433733e+00  -1.5941848546e+00  -1.1976252598e+00  1.5608644936e-06  1.5656254646e-06  1.5656255044e-06  1.5608185673e-06  1.5655938582e-06
7.8646960087e-05  -1.5966482930e+00  -1.1974979090e+00  -1.1974979109e+00  -1.5966480108e+00  -1.1994828242e+00  2.4693447648e-06  2.4813082566e-06  2.4813083464e-06  2.4692296340e-06  2.4812288275e-06
9.9010656614e-05  -1.6005442536e+00  -1.2004375673e+00  -1.2004375733e+00  -1.6005435402e+00  -1.2024272406e+00  3.9024614940e-06  3.9325047180e-06  3.9325050141e-06  3.9021720290e-06  3.9323053099e-06
1.2464703165e-04  -1.6066926864e+00  -1.2050932228e+00  -1.2050932370e+00  -1.6066909018e+00  -1.2070903241e+00  6.1570071275e-06  6.2323497069e-06  6.2323504021e-06  6.1562845502e-06  6.2318495997e-06
1.5692131565e-04  -1.6163859737e+00  -1.2124744328e+00  -1.2124744689e+00  -1.6163815085e+00  -1.2144830444e+00  9.6881128158e-06  9.8769630990e-06  9.8769648363e-06  9.6863130276e-06  9.8757095795e-06
1.9755223192e-04  -1.6316083979e+00  -1.2241697926e+00  -1.2241698838e+00  -1.6315972531e+00  -1.2261959759e+00  1.5179726438e-05  1.5652319914e-05  1.5652324297e-05  1.5175266167e-05  1.5649183158e-05
2.4870352492e-04  -1.6553867289e+00  -1.2426996310e+00  -1.2426998610e+00  -1.6553590273e+00  -1.2447519959e+00  2.3623370130e-05  2.4803227370e-05  2.4803238417e-05  2.3612407496e-05  2.4795396828e-05
3.1309918753e-04  -1.6922160513e+00  -1.2720564350e+00  -1.2720570116e+00  -1.6921476497e+00  -1.2741461645e+00  3.6365240661e-05  3.9300341178e-05  3.9300368829e-05  3.6338653952e-05  3.9280863333e-05
3.9416852359e-04  -1.7484766725e+00  -1.3185553971e+00  -1.3185568494e+00  -1.7483094424e+00  -1.3206941958e+00  5.5001146622e-05  6.2261406655e-05  6.2261476018e-05  5.4938042594e-05  6.2213234280e-05
4.9622877088e-04  -1.8325032684e+00  -1.3921688893e+00  -1.3921725358e+00  -1.8321011092e+00  -1.3943608144e+00  8.0818439694e-05  9.8614411462e-05  9.8614585252e-05  8.0673999500e-05  9.8496364643e-05
6.2471500972e-04  -1.9534412329e+00  -1.5086509104e+00  -1.5086601012e+00  -1.9524989248e+00  -1.5108684978e+00  1.1313257208e-04  1.5613533371e-04  1.5613577025e-04  1.1282208947e-04  1.5585019952e-04
7.8646960087e-04  -2.1168611935e+00  -1.6927940848e+00  -1.6928170799e+00  -2.1147471455e+00  -1.6949176938e+00  1.4547562276e-04  2.4706555481e-04  2.4706664018e-04  1.4488272619e-04  2.4639237731e-04
9.9010656614e-04  -2.3139856042e+00  -1.9834968124e+00  -1.9835546249e+00  -2.3095739982e+00  -1.9851792957e+00  1.5902581553e-04  3.9060449312e-04  3.9060719792e-04  1.5815849717e-04  3.8907145587e-04
1.2464703165e-03  -2.5025299549e+00  -2.4414674713e+00  -2.4416121060e+00  -2.4944293491e+00  -2.4418746912e+00  1.1759437374e-04  6.1670499890e-04  6.1671167593e-04  1.1723747101e-04  6.1340570681e-04
1.5692131565e-03  -2.5905325003e+00  -3.1608025101e+00  -3.1611645291e+00  -2.5789402046e+00  -3.1582435033e+00  -1.4748149962e-05  9.7173073889e-04  9.7174712848e-04  -1.1527433046e-05  9.6522303516e-04
1.9755223192e-03  -2.4749773909e+00  -4.2860021991e+00  -4.2869072821e+00  -2.4664729803e+00  -4.2777300139e+00  -1.9017497808e-04  1.5267577303e-03  1.5267976499e-03  -1.7799827323e-04  1.5154584997e-03
2.4870352492e-03  -2.2142479222e+00  -6.0365984985e+00  -6.0388587191e+00  -2.2227184838e+00  -6.0194832673e+00  -1.6872482394e-04  2.3894447359e-03  2.3895412081e-03  -1.5309749423e-04  2.3726331238e-03
3.1309918753e-03  -2.1614862504e+00  -8.7425292157e+00  -8.7481458464e+00  -2.1791824589e+00  -8.7144993170e+00  1.6704950353e-04  3.7213576366e-03  3.7215888693e-03  1.4691368248e-04  3.6979670445e-03
3.9416852359e-03  -2.3248378592e+00  -1.2891646806e+01  -1.2905563238e+01  -2.3040631580e+00  -1.2850605348e+01  2.4386424207e-05  5.7616951012e-03  5.7622474064e-03  -4.9639093466e-07  5.7241073068e-03
4.9622877088e-03  -2.0549409556e+00  -1.9189995492e+01  -1.9224303715e+01  -2.0662128125e+00  -1.9133277367e+01  -1.7393679651e-04  8.8585133586e-03  8.8598270042e-03  -1.0223156344e-04  8.8000052514e-03
6.2471500972e-03  -2.1426317462e+00  -2.8627774336e+01  -2.8711800701e+01  -2.1249391376e+00  -2.8565756990e+01  1.3321121963e-04  1.3501829828e-02  1.3504938264e-02  2.8020958390e-05  1.3415627095e-02
7.8646960087e-03  -1.8772373091e+00  -4.2539133044e+01  -4.2743068686e+01  -1.9222804536e+00  -4.2506245143e+01  1.9632488598e-04  2.0358514324e-02  2.0365820110e-02  2.0719145392e-04  2.0231132575e-02
9.9010656614e-03  -1.7654332311e+00  -6.2605768572e+01  -6.3094433162e+01  -1.7852529029e+00  -6.2708753559e+01  -2.1085266335e-04  3.0285374720e-02  3.0302366816e-02  4.2280606445e-05  3.0098266290e-02
1.2464703165e-02  -1.6237281980e+00  -9.0717080440e+01  -9.1865935792e+01  -1.6613578770e+00  -9.1227430750e+01  -1.1938809463e-04  4.4284826700e-02  4.4323685166e-02  1.8251440858e-04  4.4023901028e-02
1.5692131565e-02  -1.5353543649e+00  -1.2852395124e+02  -1.3114774709e+02  -1.5631897854e+00  -1.3006974182e+02  5.0246213756e-04  6.3330022455e-02  6.3416449602e-02  1.4361991809e-05  6.2984414999e-02
1.9755223032e-02  -1.2593259710e+00  -1.7654603356e+02  -1.8227362422e+02  -1.3346166430e+00  -1.8042727413e+02  -3.8228265312e-04  8.7985599415e-02  8.8169212258e-02  2.8710916642e-04  8.7554568731e-02
2.4870230865e-02  -1.1649326330e+00  -2.3317635785e+02  -2.4481325118e+02  -1.1529870696e+00  -2.4167888452e+02  3.0185027633e-05  1.1791903049e-01  1.1828056231e-01  1.7586795215e-04  1.1743856322e-01
3.1293153174e-02  -9.4530501437e-01  -2.9555792950e+02  -3.1658981554e+02  -9.1195133407e-01  -3.1154508304e+02  -4.2677220170e-05  1.5200513055e-01  1.5263114941e-01  2.3536308069e-04  1.5151801462e-01
3.8860981487e-02  -7.2992874752e-01  -3.6306146839e+02  -3.9403661426e+02  -7.5497916661e-01  -3.8696291402e+02  -6.8412511075e-04  1.8882924353e-01  1.8969167638e-01  2.3507229594e-04  1.8829171002e-01
4.5239124211e-02  -6.4500386046e-01  -4.2529638487e+02  -4.6027483521e+02  -6.3095159974e-01  -4.5220979098e+02  9.4442756184e-04  2.2081720389e-01  2.2171341271e-01  1.6322860338e-04  2.2010209039e-01
4.9865144994e-02  -5.6593099279e-01  -4.7711144429e+02  -5.1183170142e+02  -5.7751187778e-01  -5.0355259178e+02  6.3367001437e-04  2.4607070784e-01  2.4688735667e-01  1.1718534622e-04  2.4512117784e-01
5.3680308693e-02  -5.3065829746e-01  -5.2381325268e+02  -5.5675810258e+02  -5.5797785726e-01  -5.4854878060e+02  3.8825722200e-04  2.6823285493e-01  2.6893997741e-01  -2.9977472561e-04  2.6704379976e-01
5.7086866492e-02  -5.1602395552e-01  -5.6726946028e+02  -5.9805120418e+02  -5.1972074235e-01  -5.8999381828e+02  4.0049939707e-04  2.8864982213e-01  2.8924990255e-01  2.4990829986e-04  2.8723847448e-01
6.0264141799e-02  -5.0000642307e-01  -6.0782877408e+02  -6.3668716203e+02  -5.1369647221e-01  -6.2875537426e+02  -1.8743081499e-04  3.0773299039e-01  3.0824665673e-01  2.8756115477e-06  3.0612076381e-01
6.3307049400e-02  -4.7300211960e-01  -6.4518882188e+02  -6.7278755813e+02  -4.7976392126e-01  -6.6488422731e+02  -2.4613938864e-04  3.2549715692e-01  3.2595727459e-01  -3.1165783528e-04  3.2372189892e-01
6.6272501340e-02  -3.9900844934e-01  -6.7894054555e+02  -7.0625651973e+02  -4.5378139524e-01  -6.9823320202e+02  4.8225858590e-04  3.4186319032e-01  3.4231127552e-01  1.2228759322e-04  3.3997365513e-01
6.9197881270e-02  -4.6363263259e-01  -7.0882737417e+02  -7.3705839597e+02  -4.4592370924e-01  -7.2873088979e+02  2.6248073553e-04  3.5679207202e-01  3.5727503861e-01  3.0031928198e-04  3.5483223294e-01
7.2109535963e-02  -4.1234332320e-01  -7.3443730427e+02  -7.6488393011e+02  -4.3100776933e-01  -7.5605179540e+02  8.4830843834e-05  3.7012288117e-01  3.7068893518e-01  -1.0820008873e-04  3.6814183070e-01
7.5027122118e-02  -3.8464009405e-01  -7.5583822951e+02  -7.8980179679e+02  -4.0074847564e-01  -7.8026451651e+02  -1.8287823050e-03  3.8189160606e-01  3.8258646469e-01  -3.1125453743e-04  3.7993131494e-01
7.7966021803e-02  -3.8500004203e-01  -7.7329547371e+02  -8.1194919788e+02  -3.7605375779e-01  -8.0152679739e+02  -1.2417129357e-03  3.9218136790e-01  3.9304375954e-01  1.0544580505e-04  3.9029517803e-01
8.0938773722e-02  -3.5799791011e-01  -7.8729591149e+02  -8.3155121507e+02  -3.6744372040e-01  -8.2010571373e+02  9.1714654678e-04  4.0113218482e-01  4.0218935021e-01  2.9169095730e-04  3.9935705895e-01
8.3955966065e-02  -3.7702419224e-01  -7.9903692267e+02  -8.4943386045e+02  -3.5106054602e-01  -8.3688469702e+02  1.4956566763e-03  4.0919064897e-01  4.1045463688e-01  -2.0815787823e-04  4.0753443221e-01
8.7026817336e-02  -3.0398894054e-01  -8.0969988250e+02  -8.6629123046e+02  -3.2126521783e-01  -8.5263448546e+02  -2.0749519648e-04  4.1674971939e-01  4.1821400298e-01  -1.5645591763e-04  4.1520286614e-01
9.0159567473e-02  -3.1040725690e-01  -8.2096826210e+02  -8.8326312134e+02  -3.1068786022e-01  -8.6857960723e+02  -2.4581569454e-06  4.2442561650e-01  4.2606376386e-01  -8.5083615054e-06  4.2297318862e-01
9.3361748845e-02  -2.9566799239e-01  -8.3447415742e+02  -9.0142051639e+02  -2.9561533460e-01  -8.8587808608e+02  -4.1769280179e-07  4.3280404901e-01  4.3457008224e-01  -7.9984861605e-07  4.3140213384e-01
9.6640378489e-02  -2.8213508867e-01  -8.5184488656e+02  -9.2189179093e+02  -2.8208484354e-01  -9.0573520236e+02  -3.9859053953e-07  4.4248855383e-01  4.4432028617e-01  -7.6323828514e-07  4.4107695932e-01
1.0000209708e-01  -2.7031974222e-01  -8.7445179112e+02  -9.4569166122e+02  -2.7027159645e-01  -9.2921955191e+02  -3.8177765997e-07  4.5401173616e-01  4.5583680796e-01  -7.3118683186e-07  4.5251834642e-01
1.0345327093e-01  -2.6013835421e-01  -9.0307802351e+02  -9.7346729883e+02  -2.6009201062e-01  -9.5699755516e+02  -3.6715432222e-07  4.6770163629e-01  4.6944625170e-01  -7.0347834919e-07  4.6605097417e-01
1.0700006761e-01  -2.5133069073e-01  -9.3760399295e+02  -1.0052452642e+03  -2.5128590046e-01  -9.8907149123e+02  -3.5440305039e-07  4.8355134471e-01  4.8515096152e-01  -6.7944568422e-07  4.8167564478e-01
1.1064851257e-01  -2.4355839935e-01  -9.7714098730e+02  -1.0406157568e+03  -2.4351497633e-01  -1.0249544671e+03  -3.4308516918e-07  5.0130491227e-01  5.0271601300e-01  -6.5819580317e-07  4.9915552086e-01
1.1440453153e-01  -2.3636023859e-01  -1.0197123123e+03  -1.0783846217e+03  -2.3631808172e-01  -1.0633289683e+03  -3.3261118249e-07  5.2029019813e-01  5.2150055369e-01  -6.3852423099e-07  5.1784883095e-01
1.1827398245e-01  -2.2922300050e-01  -1.0624244743e+03  -1.1166630113e+03  -2.2918210273e-01  -1.1021495438e+03  -3.2233445649e-07  5.3947193947e-01  5.4050739236e-01  -6.1910311728e-07  5.3675870473e-01
1.2226267943e-01  -2.2177733829e-01  -1.1023975043e+03  -1.1536877789e+03  -2.2173776041e-01  -1.1394772852e+03  -3.1176068636e-07  5.5786761888e-01  5.5879362914e-01  -5.9894705573e-07  5.5494194885e-01
1.2637641088e-01  -2.1366274444e-01  -1.1363994610e+03  -1.1871877876e+03  -2.1362461253e-01  -1.1728935979e+03  -3.0039128020e-07  5.7426383968e-01  5.7517798562e-01  -5.7708421350e-07  5.7121980636e-01
1.3062095319e-01  -2.0475426120e-01  -1.1622647659e+03  -1.2156115365e+03  -2.0471772339e-01  -1.2007532343e+03  -2.8800235761e-07  5.8783986177e-01  5.8885679530e-01  -5.5313046988e-07  5.8479111432e-01
1.3500208143e-01  -1.9511332813e-01  -1.1791625754e+03  -1.2381558262e+03  -1.9507852016e-01  -1.2222524219e+03  -2.7467028923e-07  5.9820549292e-01  5.9943452899e-01  -5.2725139344e-07  5.9526384207e-01
1.3952557815e-01  -1.8510021493e-01  -1.1887790900e+03  -1.2558529971e+03  -1.8506720580e-01  -1.2385264038e+03  -2.6085546015e-07  6.0594396846e-01  6.0746388241e-01  -5.0039030340e-07  6.0319206436e-01
1.4419724122e-01  -1.7515209433e-01  -1.1944281346e+03  -1.2706641532e+03  -1.7512087203e-01  -1.2517500386e+03  -2.4709721030e-07  6.1216661869e-01  6.1400185065e-01  -4.7367279584e-07  6.0963474220e-01
1.4902289176e-01  -1.6575279885e-01  -1.2008956098e+03  -1.2855648436e+03  -1.6572326214e-01  -1.2651831977e+03  -2.3404975366e-07  6.1852737530e-01  6.2063481589e-01  -4.4839881803e-07  6.1617889922e-01
1.5400838287e-01  -1.5738365538e-01  -1.2139126954e+03  -1.3044670056e+03  -1.5735561508e-01  -1.2830189534e+03  -2.2232521612e-07  6.2713667574e-01  6.2940894735e-01  -4.2581755480e-07  6.2486776120e-01
1.5915961017e-01  -1.5027619861e-01  -1.2377390493e+03  -1.3303042201e+03  -1.5024942358e-01  -1.3083954018e+03  -2.1223646453e-07  6.3956765843e-01  6.4185566012e-01  -4.0654598289e-07  6.3722948844e-01
1.6448252494e-01  -1.4442048220e-01  -1.2742334306e+03  -1.3646412442e+03  -1.4439474410e-01  -1.3429180953e+03  -2.0382123712e-07  6.5660890530e-01  6.5876244352e-01  -3.9060209092e-07  6.5404653769e-01
1.6998315057e-01  -1.3944896341e-01  -1.3208500826e+03  -1.4059088336e+03  -1.3942410190e-01  -1.3848642462e+03  -1.9659022140e-07  6.7737635832e-01  6.7929063285e-01  -3.7700449811e-07  6.7447830804e-01
1.7566760330e-01  -1.3491475003e-01  -1.3724325410e+03  -1.4511642067e+03  -1.3489068768e-01  -1.4309399471e+03  -1.9000189837e-07  7.0018397893e-01  7.0184142810e-01  -3.6461177151e-07  6.9692219254e-01
1.8154211797e-01  -1.3023498001e-01  -1.4207546726e+03  -1.4949163998e+03  -1.3021174626e-01  -1.4752296161e+03  -1.8329716337e-07  7.2204627759e-01  7.2353000233e-01  -3.5189097217e-07  7.1849585577e-01
1.8761307954e-01  -1.2499744047e-01  -1.4582863442e+03  -1.5319719199e+03  -1.2497513987e-01  -1.5121795113e+03  -1.7594709927e-07  7.4017369569e-01  7.4164583153e-01  -3.3776889183e-07  7.3649367907e-01
1.9388706131e-01  -1.1912770824e-01  -1.4816146547e+03  -1.5598480456e+03  -1.1910645829e-01  -1.5391655672e+03  -1.6778266762e-07  7.5326233873e-01  7.5490662135e-01  -3.2198236942e-07  7.4963829324e-01
2.0037087064e-01  -1.1286396403e-01  -1.4928772868e+03  -1.5795716548e+03  -1.1284383766e-01  -1.5573930900e+03  -1.5910783820e-07  7.6194789310e-01  7.6389460987e-01  -3.0515774662e-07  7.5851689866e-01
2.0707160308e-01  -1.0669116880e-01  -1.4999810593e+03  -1.5961504648e+03  -1.0667214940e-01  -1.5723239038e+03  -1.5053392133e-07  7.6900420711e-01  7.7126943529e-01  -2.8855441292e-07  7.6579036732e-01
2.1399670588e-01  -1.0107189633e-01  -1.5127832130e+03  -1.6158753624e+03  -1.0105388207e-01  -1.5908068679e+03  -1.4256394220e-07  7.7789583195e-01  7.8036531015e-01  -2.7329219768e-07  7.7479234063e-01
2.2115405212e-01  -9.6348778430e-02  -1.5400908917e+03  -1.6451370122e+03  -9.6331605438e-02  -1.6196001337e+03  -1.3587314092e-07  7.9200256609e-01  7.9448708048e-01  -2.6049606626e-07  7.8881815183e-01
2.2855202667e-01  -9.2435167499e-02  -1.5826870861e+03  -1.6847432138e+03  -9.2418688322e-02  -1.6595033845e+03  -1.3026820265e-07  8.1170172220e-01  8.1402754618e-01  -2.4985410523e-07  8.0825544601e-01
2.3619962575e-01  -8.8946198629e-02  -1.6332509467e+03  -1.7301263864e+03  -8.8930336942e-02  -1.7055168401e+03  -1.2525628541e-07  8.3444668641e-01  8.3655296300e-01  -2.4035870687e-07  8.3066797094e-01
2.4410657201e-01  -8.5423223893e-02  -1.6801336361e+03  -1.7737499665e+03  -8.5407987727e-02  -1.7494619585e+03  -1.2025042925e-07  8.5610187445e-01  8.5807905213e-01  -2.3081217206e-07  8.5207286354e-01
2.5228344779e-01  -8.1561366333e-02  -1.7136218375e+03  -1.8088832030e+03  -8.1546819250e-02  -1.7841486612e+03  -1.1483443888e-07  8.7306029564e-01  8.7509640234e-01  -2.2039598102e-07  8.6896784710e-01
2.6074184977e-01  -7.7414203379e-02  -1.7331394527e+03  -1.8348027543e+03  -7.7400398537e-02  -1.8088815321e+03  -1.0906201458e-07  8.8500097422e-01  8.8726142447e-01  -2.0923886860e-07  8.8101533700e-01
2.6949456925e-01  -7.3268925512e-02  -1.7468060507e+03  -1.8561944977e+03  -7.3255862659e-02  -1.8288904828e+03  -1.0327601939e-07  8.9459997774e-01  8.9711349476e-01  -1.9807005304e-07  8.9076044765e-01
2.7855580362e-01  -6.9535446258e-02  -1.7684197873e+03  -1.8826043142e+03  -6.9523050106e-02  -1.8543765121e+03  -9.8025951802e-08  9.0698921675e-01  9.0963175583e-01  -1.8798248524e-07  9.0317456174e-01
2.8794140592e-01  -6.6335708396e-02  -1.8045558542e+03  -1.9186567616e+03  -6.6323881576e-02  -1.8902634763e+03  -9.3486009908e-08  9.2462800095e-01  9.2722012074e-01  -1.7931040935e-07  9.2065481744e-01
2.9766918213e-01  -6.3500187419e-02  -1.8506848975e+03  -1.9619225175e+03  -6.3488864162e-02  -1.9337871534e+03  -8.9449898099e-08  9.4608451791e-01  9.4853908566e-01  -1.7161897484e-07  9.4185535124e-01
3.0775924821e-01  -6.0677881937e-02  -1.8934186318e+03  -2.0033608292e+03  -6.0667060867e-02  -1.9752334220e+03  -8.5458844031e-08  9.6645855167e-01  9.6885007319e-01  -1.6398311832e-07  9.6204229002e-01
3.1823446327e-01  -5.7706800827e-02  -1.9243922277e+03  -2.0373660557e+03  -5.7696510119e-02  -2.0085686269e+03  -8.1294741988e-08  9.8272151753e-01  9.8521140952e-01  -1.5597066594e-07  9.7827909620e-01
3.2912096071e-01  -5.4676898818e-02  -1.9466940662e+03  -2.0654294188e+03  -5.4667149672e-02  -2.0355404670e+03  -7.7054604395e-08  9.9579161791e-01  9.9846709220e-01  -1.4780129984e-07  9.9141642078e-01
3.4044880671e-01  -5.1831522016e-02  -1.9724634909e+03  -2.0954683988e+03  -5.1822280808e-02  -2.0647246123e+03  -7.3050621182e-08  1.0100042208e+00  1.0127958529e+00  -1.4011168718e-07  1.0056311719e+00
3.5225282632e-01  -4.9297229983e-02  -2.0097429454e+03  -2.1333333371e+03  -4.9288440118e-02  -2.1023045044e+03  -6.9464829283e-08  1.0284471689e+00  1.0312192519e+00  -1.3325033736e-07  1.0239358421e+00
3.6457365282e-01  -4.6947179612e-02  -2.0529050572e+03  -2.1756938060e+03  -4.6938808009e-02  -2.1445867616e+03  -6.6139671571e-08  1.0492283511e+00  1.0519421945e+00  -1.2688955741e-07  1.0445312161e+00
3.7745907864e-01  -4.4581550784e-02  -2.0902181926e+03  -2.2145833216e+03  -4.4573600945e-02  -2.1830224149e+03  -6.2806292542e-08  1.0680432819e+00  1.0707940352e+00  -1.2049553121e-07  1.0632521788e+00
3.9096581954e-01  -4.2185084713e-02  -2.1200287374e+03  -2.2485713010e+03  -4.2177562705e-02  -2.2161511450e+03  -5.9447425897e-08  1.0841819166e+00  1.0870584935e+00  -1.1403231487e-07  1.0793882198e+00
4.0516185461e-01  -3.9891647783e-02  -2.1518650794e+03  -2.2837692466e+03  -3.9884534934e-02  -2.2506186210e+03  -5.6215689659e-08  1.1010106352e+00  1.1039721903e+00  -1.0783156177e-07  1.0961759392e+00
