# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=15
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_cdm              t_ur               t_tot              
1.9755223192e-07  -1.5899682328e+00  -1.1924761746e+00  -1.1924761746e+00  -1.5899682328e+00  -1.1944528422e+00  1.5656670124e-11  1.5656665955e-11  1.5656665962e-11  1.5656669606e-11  1.5656665987e-11
2.4870352492e-07  -1.5899680096e+00  -1.1924760072e+00  -1.1924760072e+00  -1.5899680096e+00  -1.1944526746e+00  2.4814152302e-11  2.4814144525e-11  2.4814144537e-11  2.4814151477e-11  2.4814144585e-11
3.1309918753e-07  -1.5899700515e+00  -1.1924775386e+00  -1.1924775386e+00  -1.5899700515e+00  -1.1944542085e+00  3.9327626284e-11  3.9327740108e-11  3.9327740173e-11  3.9327623189e-11  3.9327739400e-11
3.9416852359e-07  -1.5899761209e+00  -1.1924820907e+00  -1.1924820907e+00  -1.5899761209e+00  -1.1944587682e+00  6.2329311192e-11  6.2330117866e-11  6.2330118144e-11  6.2329299194e-11  6.2330112724e-11
4.9622877088e-07  -1.5899763202e+00  -1.1924822402e+00  -1.1924822402e+00  -1.5899763202e+00  -1.1944589179e+00  9.8785255046e-11  9.8786571724e-11  9.8786572177e-11  9.8785235579e-11  9.8786563331e-11
6.2471500972e-07  -1.5899762851e+00  -1.1924822138e+00  -1.1924822138e+00  -1.5899762851e+00  -1.1944588915e+00  1.5656416159e-10  1.5656618601e-10  1.5656618675e-10  1.5656413092e-10  1.5656617314e-10
7.8646960087e-07  -1.5899745011e+00  -1.1924808758e+00  -1.1924808758e+00  -1.5899745011e+00  -1.1944575513e+00  2.4813845531e-10  2.4814088064e-10  2.4814088154e-10  2.4813841735e-10  2.4814086523e-10
9.9010656614e-07  -1.5899747451e+00  -1.1924810588e+00  -1.1924810588e+00  -1.5899747451e+00  -1.1944577346e+00  3.9327278441e-10  3.9327677938e-10  3.9327678068e-10  3.9327272661e-10  3.9327675385e-10
1.2464703165e-06  -1.5899756833e+00  -1.1924817625e+00  -1.1924817625e+00  -1.5899756833e+00  -1.1944584394e+00  6.2329445802e-10  6.2330159256e-10  6.2330159082e-10  6.2329437067e-10  6.2330154366e-10
1.5692131565e-06  -1.5899774756e+00  -1.1924831067e+00  -1.1924831067e+00  -1.5899774756e+00  -1.1944597859e+00  9.8785241029e-10  9.8786611975e-10  9.8786608419e-10  9.8785233264e-10  9.8786599933e-10
