# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=15
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_ur               t_tot              
1.5708633179e+00  -1.4844325966e-03  -3.6296947351e+03  -3.8488478416e+03  -1.4836349897e-03  -3.7934983414e+03  -1.8607824996e+00  -4.8742713190e-03  -1.8607825053e+00  -7.6477859724e-02
1.9775503954e+00  -1.0046704042e-03  -3.8932709648e+03  -4.1283026455e+03  -1.0041305811e-03  -4.0689399047e+03  -1.9958916218e+00  -5.2299746041e-03  -1.9958916257e+00  -8.2032542211e-02
2.4895882626e+00  -6.7721340310e-04  -4.1592822937e+03  -4.4103506555e+03  -6.7684952787e-04  -4.3469356559e+03  -2.1322539289e+00  -5.5924915581e-03  -2.1322539315e+00  -8.7642125155e-02
3.1342059286e+00  -4.5482869577e-04  -4.4273225528e+03  -4.6945680427e+03  -4.5458431158e-04  -4.6270667914e+03  -2.2696641688e+00  -5.9636008173e-03  -2.2696641705e+00  -9.3300399651e-02
3.9457314893e+00  -3.0446281900e-04  -4.6970604544e+03  -4.9806143839e+03  -3.0429922902e-04  -4.9089960900e+03  -2.4079572485e+00  -6.3467254278e-03  -2.4079572497e+00  -9.9004287155e-02
4.9673816400e+00  -2.0319462851e-04  -4.9682108000e+03  -5.2682058153e+03  -2.0308545177e-04  -5.1924408790e+03  -2.5469950419e+00  -6.7479016018e-03  -2.5469950427e+00  -1.0475426189e-01
6.2535629766e+00  -1.3523646918e-04  -5.2405097514e+03  -5.5570932529e+03  -1.3516380768e-04  -5.4771508751e+03  -2.6866556600e+00  -7.1774019338e-03  -2.6866556605e+00  -1.1055549746e-01
7.8727693455e+00  -8.9779403726e-05  -5.5136882274e+03  -5.8470424860e+03  -8.9731167252e-05  -5.7628872709e+03  -2.8268234100e+00  -7.6524101340e-03  -2.8268234103e+00  -1.1642005101e-01
9.9112293903e+00  -5.9463326339e-05  -5.7874987161e+03  -6.1378749974e+03  -5.9431379389e-05  -6.0494610370e+03  -2.9674079611e+00  -8.2015176298e-03  -2.9674079613e+00  -1.2237192579e-01
1.2477498542e+01  -3.9299585615e-05  -6.0616501977e+03  -6.4294205355e+03  -3.9278473170e-05  -6.3366828145e+03  -3.1083203229e+00  -8.8719190296e-03  -3.1083203231e+00  -1.2845306218e-01
