# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_cdm              t_ur               t_tot              
1.2498495999e+00  -4.9857839127e-03  -4.2764534199e+04  -4.2988752697e+04  -4.9744325321e-03  -4.2938108855e+04  -9.0693222031e-07  4.8756539667e+00  4.8763140582e+00  -9.0261939366e-07  4.8741744763e+00
1.5708633179e+00  -3.3990693369e-03  -4.6054343196e+04  -4.6295976245e+04  -3.3913305309e-03  -4.6241408881e+04  -6.1830283060e-07  5.2507269532e+00  5.2514592404e+00  -6.1536256112e-07  5.2491515018e+00
1.9775503954e+00  -2.3004702865e-03  -4.9397333645e+04  -4.9656780032e+04  -2.2952327382e-03  -4.9598206216e+04  -4.1846396672e-07  5.6318599004e+00  5.6326806738e+00  -4.1647402288e-07  5.6301995450e+00
2.4895882626e+00  -1.5505690749e-03  -5.2768456374e+04  -5.3046124628e+04  -1.5470388812e-03  -5.2983467633e+04  -2.8205442641e-07  6.0162000200e+00  6.0171367638e+00  -2.8071317352e-07  6.0144763363e+00
3.1342059286e+00  -1.0413591277e-03  -5.6166574671e+04  -5.6463023056e+04  -1.0389882917e-03  -5.6396181606e+04  -1.8942747619e-07  6.4036155894e+00  6.4047139297e+00  -1.8852670888e-07  6.4018653310e+00
3.9457314893e+00  -6.9683946295e-04  -5.9566271148e+04  -5.9882270121e+04  -6.9525302291e-04  -5.9811115588e+04  -1.2675820749e-07  6.7912137255e+00  6.7925488571e+00  -1.2615546314e-07  6.7894994989e+00
4.9673816400e+00  -4.6510866459e-04  -6.3009669248e+04  -6.3346538521e+04  -4.6404982687e-04  -6.3270837773e+04  -8.4605620306e-08  7.1837819727e+00  7.1854798735e+00  -8.4203332982e-08  7.1822067240e+00
6.2535629766e+00  -3.0948037533e-04  -6.6444905481e+04  -6.6804611520e+04  -3.0877587237e-04  -6.6724040060e+04  -5.6296339623e-08  7.5754172804e+00  7.5776851279e+00  -5.6028678231e-08  7.5741541015e+00
7.8727693455e+00  -2.0542465381e-04  -6.9894443508e+04  -7.0280245103e+04  -2.0495706718e-04  -7.0194256488e+04  -3.7368299471e-08  7.9686695625e+00  7.9718507763e+00  -3.7190652201e-08  7.9680040553e+00
9.9112293903e+00  -1.3601756148e-04  -7.3337352580e+04  -7.3754552428e+04  -1.3570800392e-04  -7.3662266827e+04  -2.4742927844e-08  8.3611334538e+00  8.3657946574e+00  -2.4625322275e-08  8.3615382845e+00
1.2477498542e+01  -8.9855398303e-05  -7.6767514674e+04  -7.7224885016e+04  -8.9650946961e-05  -7.7124847479e+04  -1.6345916878e-08  8.7521288506e+00  8.7592053192e+00  -1.6268245621e-08  8.7543842769e+00
